st_postaje,tip_postaje,ime_postaje,nadm_vis,lat,lon,datum_zacetka,datum_konca
272,samodejna,JERONIM,760,46.27,14.95,2014-07-17,
273,podnebna,GOLTE NAD MOZIRJEM,1415,46.37,14.90,1969-12-09,1977-05-05
274,podnebna,MOZIRJE,340,46.34,14.96,1985-08-15,1994-06-01
274,podnebna,MOZIRJE,347,46.33,14.97,1960-05-13,1985-07-01
275,samodejna,RADEGUNDA,794,46.37,14.94,2015-01-27,
276,podnebna,GORNJI GRAD,428,46.30,14.81,1969-08-01,1978-01-01
276,podnebna,GORNJI GRAD,428,46.30,14.83,1960-07-12,1969-08-01
276,samodejna,GORNJI GRAD,438,46.30,14.81,2015-10-01,
278,samodejna,LUČE,512,46.36,14.75,2015-01-27,
280,samodejna,LOGARSKA DOLINA,776,46.39,14.64,2016-04-08,
280,registrator,LOGARSKA DOLINA,740,46.41,14.64,2001-03-22,2016-09-08
285,samodejna,MEŽICA,469,46.53,14.86,2016-06-15,
285,registrator,MEŽICA,493,46.52,14.86,2001-03-22,2016-10-21
287,podnebna,RAVNE NA KOROŠKEM,440,46.54,14.96,1960-01-01,1991-01-01
287,samodejna,RAVNE NA KOROŠKEM,396,46.55,14.94,2009-04-02,
289,podnebna,URŠLJA GORA,1696,46.49,14.97,1966-07-01,1993-04-01
289,samodejna,URŠLJA GORA,1696,46.49,14.97,2016-07-07,
295,podnebna,TERMOELEKTRARNA ŠOŠTANJ,358,46.40,15.05,1977-01-01,1978-11-01
296,podnebna,VELENJE,406,46.37,15.13,1947-01-01,1964-01-01
296,podnebna,VELENJE,410,46.36,15.12,1964-01-01,2006-04-01
296,samodejna,VELENJE,388,46.36,15.12,2014-07-17,
296,registrator,VELENJE,410,46.36,15.12,2006-04-12,2006-07-04
301,podnebna,SLOVENSKE KONJICE,330,46.34,15.43,1997-12-11,2017-04-01
301,podnebna,SLOVENSKE KONJICE,332,46.33,15.43,1954-05-21,1975-05-13
301,podnebna,SLOVENSKE KONJICE,340,46.35,15.42,1975-05-13,1997-11-01
301,samodejna,SLOVENSKE KONJICE,314,46.34,15.44,2016-06-15,
301,registrator,SLOVENSKE KONJICE,330,46.34,15.43,2008-04-28,2017-04-01
306,podnebna,ŠMARTNO NA POHORJU,765,46.45,15.54,1957-07-01,1978-01-01
307,podnebna,PRAGERSKO,251,46.40,15.69,1953-05-01,1990-01-01
309,podnebna,STARŠE,238,46.47,15.77,1957-06-17,2018-01-01
309,registrator,STARŠE,238,46.47,15.77,2009-01-31,2017-09-01
309,registrator,STARŠE,238,46.47,15.77,2015-03-01,2018-01-01
310,podnebna,MARIBOR - TABOR,275,46.54,15.65,2005-01-01,2020-01-01
310,podnebna,MARIBOR - TABOR,275,46.54,15.65,1962-06-07,2005-01-01
310,podnebna,MARIBOR - TEZNO,275,46.53,15.63,1949-01-09,1962-06-07
310,samodejna,MARIBOR - TABOR,275,46.54,15.65,1989-12-04,2020-01-15
310,registrator,MARIBOR - TABOR,275,46.54,15.65,2013-02-01,2013-08-24
310,registrator,MARIBOR - TABOR,275,46.54,15.65,2016-01-29,2016-02-26
311,podnebna,LETALIŠČE EDVARDA RUSJANA MARIBOR,264,46.48,15.69,1977-01-01,
311,samodejna,LETALIŠČE EDVARDA RUSJANA MARIBOR,264,46.48,15.69,2000-10-17,
311,samodejna,LETALIŠČE EDVARDA RUSJANA MARIBOR,264,46.48,15.69,2018-03-09,
317,registrator,KOZJI VRH,332,46.60,15.27,2001-03-21,
317,registrator,KOZJI VRH,332,46.60,15.27,2013-02-13,2013-03-27
318,podnebna,RADLJE OB DRAVI,365,46.61,15.23,1953-06-01,1990-06-14
321,podnebna,ŠMARTNO PRI SLOV.GRADCU,452,46.48,15.12,1957-04-01,1994-01-01
321,podnebna,ŠMARTNO PRI SLOVENJ GRADCU,444,46.49,15.12,1994-01-01,2017-04-05
321,samodejna,ŠMARTNO PRI SLOVENJ GRADCU,444,46.49,15.12,1994-05-17,
321,registrator,ŠMARTNO PRI SLOVENJ GRADCU,444,46.49,15.12,2015-07-29,
329,podnebna,SVEČINA,302,46.67,15.59,1948-10-01,1987-07-02
331,podnebna,POLIČKI VRH,280,46.64,15.70,2008-04-15,
331,podnebna,POLIČKI VRH,280,46.64,15.70,1966-06-01,2008-04-15
331,podnebna,POLIČKI VRH,320,46.65,15.70,1954-05-20,1966-06-01
331,registrator,POLIČKI VRH,280,46.64,15.70,2014-10-23,
331,registrator,POLIČKI VRH,280,46.64,15.70,2014-10-24,
333,podnebna,ZGORNJA ŠČAVNICA,358,46.64,15.85,1961-05-01,1993-08-01
334,podnebna,GORNJA RADGONA I.,232,46.67,15.99,1967-09-19,2002-01-01
334,podnebna,GORNJA RADGONA I.,237,46.67,15.98,1954-05-01,1967-09-19
336,podnebna,RADENCI,198,46.64,16.05,1962-07-01,2001-01-01
336,samodejna,RADENCI,198,46.64,16.05,2000-11-20,2020-09-23
337,podnebna,KAPELA,309,46.62,16.03,1954-01-01,1987-07-01
338,podnebna,BLAGUŠ - VIDEM OB ŠČAVNICI,203,46.57,16.02,1975-04-16,1992-09-30
338,podnebna,BLAGUŠ - VIDEM OB ŠČAVNICI,203,46.58,16.02,1957-10-23,1975-04-16
339,samodejna,KADRENCI,301,46.57,15.96,2014-05-06,
341,podnebna,SAKUŠAK,321,46.50,15.98,1961-02-01,1972-01-01
342,podnebna,MESTNI VRH PRI PTUJU,260,46.45,15.87,1959-04-29,1989-01-01
344,podnebna,PODLEHNIK,350,46.35,15.85,1961-01-01,1987-07-01
346,podnebna,TURŠKI VRH PRI ZAVRČU,282,46.36,16.06,1960-03-29,2004-01-01
346,registrator,TURŠKI VRH,302,46.36,16.06,2010-03-26,
346,registrator,TURŠKI VRH PRI ZAVRČU,282,46.36,16.06,2000-04-01,2010-03-26
348,podnebna,JERUZALEM,335,46.48,16.19,1948-01-01,2007-05-16
348,podnebna,JERUZALEM,336,46.48,16.19,2007-05-16,2008-06-01
348,samodejna,JERUZALEM,334,46.48,16.19,2016-02-15,
348,registrator,JERUZALEM,336,46.48,16.19,2008-04-30,2016-02-15
349,podnebna,PODGRADJE,272,46.50,16.23,1955-10-25,2001-03-01
349,registrator,PODGRADJE,272,46.50,16.23,2000-08-08,2000-10-18
352,podnebna,LENDAVA,190,46.56,16.48,1962-01-17,
352,podnebna,LENDAVA,207,46.56,16.47,1954-06-18,1962-01-17
352,registrator,LENDAVA,190,46.56,16.48,2009-09-30,2017-12-01
352,registrator,LENDAVA,190,46.56,16.48,2017-07-25,
355,podnebna,MURSKA SOBOTA - RAKIČAN,184,46.63,16.18,1971-07-01,1985-06-19
355,podnebna,MURSKA SOBOTA - RAKIČAN,186,46.65,16.20,1985-06-19,2017-04-05
355,podnebna,MURSKA SOBOTA - RAKIČAN,193,46.67,16.13,1956-01-01,1971-07-01
355,samodejna,MURSKA SOBOTA - RAKIČAN,186,46.65,16.20,1993-07-09,
355,registrator,MURSKA SOBOTA - RAKIČAN,186,46.65,16.20,2018-01-09,
357,podnebna,MAČKOVCI,331,46.78,16.16,1962-05-08,1965-05-01
357,samodejna,MAČKOVCI,274,46.78,16.17,2016-07-07,
359,podnebna,VELIKI DOLENCI,296,46.85,16.29,1950-07-01,1977-08-30
359,podnebna,VELIKI DOLENCI,308,46.84,16.29,1977-08-30,2018-12-01
359,registrator,VELIKI DOLENCI,308,46.84,16.29,2009-01-31,2017-08-01
359,registrator,VELIKI DOLENCI,308,46.84,16.29,2017-08-01,2018-10-01
360,podnebna,KOPER,33,45.54,13.72,1974-05-01,1976-01-01
360,podnebna,KOPER,33,45.54,13.72,1954-07-11,1974-05-01
360,ekološka,KOPER,56,45.54,13.72,2005-07-05,
361,podnebna,GOMANCE,937,45.51,14.44,1951-01-01,1971-10-07
362,podnebna,ROVTARICA,1077,46.29,14.10,1948-01-01,1972-10-11
363,podnebna,ŠENTGOTARD,580,46.18,14.92,1956-01-01,1974-01-01
364,podnebna,MIRNA NA DOLENJSKEM,264,45.95,15.06,1960-06-01,1975-10-01
366,podnebna,ŽEJE,427,46.28,14.30,1960-05-15,1973-04-17
370,podnebna,ŽIKARCE,400,46.53,15.80,1978-05-01,1983-10-01
377,podnebna,SLOVENSKA BISTRICA,310,46.40,15.58,1959-02-01,1975-07-29
380,podnebna,JESENICE - HRUŠICA,600,46.45,14.00,1978-06-01,1980-01-01
400,podnebna,DIVAČA,416,45.69,13.97,1978-06-19,1985-01-01
403,podnebna,LESCE,503,46.36,14.17,2016-03-01,2017-11-25
403,podnebna,LESCE,515,46.37,14.18,1979-01-01,2016-03-01
403,podnebna,LESCE - LETALIŠČE,506,46.37,14.17,1959-01-01,1964-03-09
403,samodejna,LESCE - LETALIŠČE,509,46.36,14.18,2004-03-17,
403,registrator,LESCE,503,46.36,14.17,2017-03-16,2018-01-01
408,samodejna,LJUBLJANA - KLEČE,307,46.09,14.50,1998-01-30,
408,registrator,LJUBLJANA - KLEČE,307,46.09,14.50,2017-06-15,2017-08-09
411,podnebna,MARIBOR - KMETIJSKI ZAVOD,267,46.57,15.65,1961-06-01,1976-06-01
411,podnebna,MARIBOR - KMETIJSKI ZAVOD,267,46.57,15.65,1979-07-01,1981-07-01
432,podnebna,METLIKA,152,45.65,15.33,2007-01-01,2018-03-01
432,podnebna,METLIKA,182,45.65,15.32,1981-06-01,1989-03-15
432,podnebna,METLIKA,210,45.65,15.32,1989-03-15,2007-01-01
432,samodejna,METLIKA,165,45.64,15.32,2016-01-11,
432,registrator,METLIKA,152,45.65,15.33,2007-01-01,2008-06-27
432,registrator,METLIKA,152,45.65,15.33,2017-11-24,2018-04-26
432,registrator,METLIKA,210,45.65,15.32,2000-12-19,2001-04-26
432,registrator,METLIKA,210,45.65,15.32,2006-12-11,2007-01-01
433,podnebna,BLED - GRAD,500,46.37,14.12,1946-03-01,1962-01-01
433,podnebna,BLED - TURISTIČNO DRUŠTVO,500,46.37,14.12,1970-11-06,1981-11-01
436,podnebna,KANIN - ZG.POSTAJA ŽIČNICE,2222,46.36,13.48,1982-02-01,1983-01-01
436,samodejna,KANIN,2260,46.36,13.48,2016-09-14,
437,podnebna,VOGEL,1530,46.26,13.85,2016-09-01,
437,podnebna,VOGEL,1535,46.26,13.85,1982-05-01,2016-09-01
437,samodejna,VOGEL,1515,46.26,13.84,2016-08-24,
437,registrator,VOGEL,1530,46.26,13.85,2016-09-01,
437,registrator,VOGEL,1530,46.26,13.85,2017-06-05,
437,registrator,VOGEL,1535,46.26,13.85,2000-12-01,2016-09-01
440,podnebna,LJUBLJANA - VIČ - ROŽNA DOLINA,296,46.05,14.48,1950-01-01,1966-03-03
442,podnebna,GRM,330,45.95,14.87,1959-04-01,1976-07-01
451,podnebna,LIPICA,420,45.67,13.88,1984-01-01,1991-01-01
452,podnebna,LISCA,943,46.07,15.29,1984-03-26,1996-11-05
452,podnebna,LISCA,947,46.07,15.29,1996-11-05,2016-07-01
452,samodejna,LISCA,947,46.07,15.29,1996-11-05,
452,registrator,LISCA,947,46.07,15.29,2015-11-16,2016-02-01
452,registrator,LISCA,947,46.07,15.29,2016-02-26,2016-04-07
452,registrator,LISCA,947,46.07,15.29,2017-10-01,2017-11-01
461,podnebna,ROGLA,1335,46.45,15.33,1986-04-01,1991-07-01
461,podnebna,ROGLA,1495,46.45,15.34,1992-01-01,1995-01-01
461,samodejna,ROGLA,1495,46.45,15.34,1995-04-01,
464,podnebna,PORTOROŽ - LETALIŠČE,2,45.48,13.62,1987-01-01,
464,samodejna,PORTOROŽ - LETALIŠČE,2,45.48,13.62,1993-03-25,
464,registrator,PORTOROŽ - LETALIŠČE,2,45.48,13.62,2018-03-02,
466,podnebna,STRUNJAN - ZDRAVILIŠČE,2,45.53,13.62,1988-01-01,1989-10-02
482,podnebna,BOHINJSKA ČEŠNJICA,596,46.29,13.95,2002-09-16,
482,samodejna,BOHINJSKA ČEŠNJICA,596,46.29,13.95,2015-02-12,
482,registrator,BOHINJSKA ČEŠNJICA,596,46.29,13.95,2002-09-13,2006-12-09
482,registrator,BOHINJSKA ČEŠNJICA,596,46.29,13.95,2005-09-14,2020-02-12
482,registrator,BOHINJSKA ČEŠNJICA,596,46.29,13.95,2017-03-16,
486,podnebna,DOBROVO V BRDIH,160,46.00,13.53,1969-05-08,1973-09-14
487,podnebna,ZGORNJA KAPLA,775,46.63,15.38,1967-07-01,1971-01-01
488,podnebna,ŽALEC,255,46.25,15.17,1985-01-01,1986-01-01
498,samodejna,ISKRBA,532,45.56,14.86,1995-05-10,
500,podnebna,VOGLJE,371,46.22,14.45,1948-07-01,1964-06-01
510,samodejna,JEZERSKO,894,46.41,14.52,2015-11-11,
524,registrator,KUREŠČEK,775,45.89,14.56,2000-05-29,2000-10-17
545,podnebna,ANKARAN,4,45.55,13.78,1964-11-01,1968-05-15
553,podnebna,RUDNO POLJE,1343,46.35,13.93,1948-01-01,1967-05-01
553,samodejna,RUDNO POLJE,1344,46.35,13.93,1995-10-12,
553,registrator,RUDNO POLJE,1344,46.35,13.93,2005-10-06,2005-11-10
554,samodejna,PTUJ - TERME,222,46.42,15.86,2006-03-21,2019-09-26
554,samodejna,PTUJ - TERME,223,46.42,15.86,1995-11-30,2006-03-21
555,samodejna,GAČNIK,292,46.62,15.69,1999-03-10,
559,samodejna,IDRIJA,330,46.01,14.03,2016-09-23,
559,registrator,IDRIJA - ČISTILNA NAPRAVA,325,46.01,14.03,2001-04-09,2006-04-12
559,registrator,IDRIJA - ČISTILNA NAPRAVA,325,46.01,14.03,2005-12-01,2017-05-26
560,podnebna,ČEŠENIK,315,46.17,14.63,1949-02-01,1966-01-01
561,podnebna,VINTGAR - ELEKTRARNA,505,46.40,14.11,1949-01-01,1967-01-01
562,podnebna,ZASIP PRI BLEDU,453,46.40,14.12,1946-01-01,1967-01-01
571,samodejna,PLANINA V PODBOČJU,687,45.83,15.51,2016-07-08,
575,podnebna,KAMNJE - ŠENTRUPERT,420,45.97,15.07,1957-06-16,1966-07-01
580,samodejna,MIKLAVŽ NA GORJANCIH,959,45.78,15.32,2016-06-15,
581,ekološka,ŠKOCJAN,420,45.66,14.00,2004-09-01,
606,samodejna,BOVEC - LETALIŠČE,441,46.33,13.56,1998-12-18,
620,podnebna,LJUBLJANA - AERODROM,284,46.07,14.55,1940-01-01,1964-01-01
620,podnebna,LJUBLJANA - AERODROM,284,46.07,14.55,1957-01-01,1964-01-01
622,samodejna,ROGAŠKA SLATINA,250,46.24,15.65,1997-07-07,2009-12-10
622,samodejna,ROGAŠKA SLATINA,289,46.24,15.65,2015-12-27,
623,samodejna,ILIRSKA BISTRICA - KOSEZE,415,45.55,14.24,2005-01-18,
623,registrator,ILIRSKA BISTRICA - KOSEZE,415,45.55,14.24,2000-01-04,2007-01-01
625,registrator,SEMIČ - STARA GORA,380,45.66,15.18,2000-12-18,2001-04-04
626,registrator,METLIKA - NOVOLES,145,45.64,15.32,2000-12-19,2001-04-04
641,samodejna,PODČETRTEK - ATOMSKE TOPLICE,202,46.16,15.61,2000-05-19,
653,samodejna,HOČKO POHORJE,585,46.49,15.59,2014-05-06,
653,registrator,HOČKO POHORJE,570,46.49,15.60,2001-03-21,2014-10-04
654,samodejna,TREBNJE,303,45.91,15.01,2015-07-22,
654,registrator,TREBNJE,275,45.91,15.00,2001-03-29,2015-09-02
655,samodejna,TATRE,748,45.60,14.09,2016-05-06,
655,registrator,TATRE,744,45.60,14.09,2001-04-25,2017-03-25
656,samodejna,KRANJ,392,46.25,14.37,2014-01-13,
656,registrator,KRANJ,403,46.26,14.36,2001-04-11,2014-10-17
661,ekološka,HRASTNIK,290,46.14,15.09,2001-02-14,
668,registrator,PREŽA - V GOZDU,670,45.54,14.83,2001-09-19,2003-04-28
671,podnebna,PODLJUBELJ - PRI PREDORU,1023,46.43,14.27,1966-01-04,1970-01-01
672,podnebna,RIBNIŠKA KOČA,1530,46.50,15.25,1950-05-27,1969-11-01
674,podnebna,VIRŠTAJN,434,46.13,15.57,1954-07-01,1965-05-20
701,registrator,ČATEŽ - TERME,142,45.89,15.62,2002-08-16,2002-08-29
710,samodejna,ZAVODNJE,821,46.43,15.00,2016-04-18,
748,registrator,CELJE - MEDLOG,242,46.24,15.23,2004-02-05,2005-02-03
749,podnebna,CERKLJE - LETALIŠČE,154,45.89,15.53,2010-05-27,
749,podnebna,CERKLJE - LETALIŠČE,154,45.89,15.53,2005-06-01,2010-05-27
749,samodejna,CERKLJE - LETALIŠČE,154,45.90,15.52,2004-07-11,2014-06-14
749,samodejna,CERKLJE - LETALIŠČE,154,45.90,15.52,2014-06-15,
749,registrator,CERKLJE - LETALIŠČE,154,45.89,15.53,2018-09-05,
750,samodejna,BORŠT PRI GORENJI VASI,530,46.09,14.19,2004-09-25,2020-09-04
750,samodejna,BORŠT PRI GORENJI VASI,564,46.09,14.19,2020-06-18,
770,samodejna,KOPER - KAPITANIJA,4,45.55,13.73,2006-03-20,
771,samodejna,LENDAVA,159,46.55,16.46,2006-04-11,
772,ekološka,OTLICA - EKOLOSKA,965,45.94,13.92,2006-06-08,
776,samodejna,SOTINSKI BREG,415,46.84,16.04,2006-12-01,
779,registrator,DOVJE,656,46.46,13.96,2007-07-27,2008-08-22
781,podnebna,GROSUPLJE,350,45.96,14.66,2008-11-01,
781,registrator,GROSUPLJE,350,45.96,14.66,2017-03-13,
786,podnebna,IVANJKOVCI,225,46.46,16.16,2008-05-29,2018-02-01
786,registrator,IVANJKOVCI,225,46.46,16.16,2014-10-21,2018-01-26
786,registrator,IVANJKOVCI,225,46.46,16.16,2017-03-31,2018-01-26
811,registrator,GOZD MARTULJEK,745,46.49,13.84,2012-06-04,2013-08-03
811,registrator,GOZD MARTULJEK,745,46.49,13.84,2012-06-05,2013-01-09
812,samodejna,BUKOVSKI VRH,780,46.14,13.89,2015-12-16,
813,samodejna,VELIKE LAŠČE,528,45.83,14.65,2015-11-11,
814,samodejna,ZELENICA,1534,46.43,14.24,2016-07-07,
815,samodejna,PAVLIČEVO SEDLO,1337,46.43,14.59,2016-06-27,
816,samodejna,PODNANOS,153,45.80,13.97,2015-07-22,
817,samodejna,RATITOVEC,1639,46.24,14.09,2016-09-14,
818,samodejna,ZGORNJA KAPLA,722,46.64,15.35,2015-07-22,
819,samodejna,BLEGOŠ,1188,46.17,14.09,2016-07-06,
820,samodejna,KAMNIŠKA BISTRICA,549,46.31,14.61,2016-01-11,
821,samodejna,RIBNICA - DOLENJI LAZI,500,45.76,14.72,2015-04-01,
822,samodejna,ŠMARJE PRI JELŠAH,251,46.23,15.52,2016-06-27,
823,samodejna,KORENSKO SEDLO,1072,46.52,13.76,2016-05-09,
824,samodejna,SLAVNIK,1020,45.53,13.98,2016-05-09,
825,samodejna,SVETI TRIJE KRALJI,1230,46.44,15.46,2016-07-05,
826,samodejna,MARINČA VAS,265,45.87,14.82,2016-06-15,
827,samodejna,SVIŠČAKI,1302,45.58,14.40,2016-07-05,
828,samodejna,TOLMIN - VOLČE,188,46.18,13.72,2015-09-11,
829,samodejna,TROJANE - LIMOVCE,673,46.20,14.92,2016-01-11,
830,samodejna,VRŠIČ,1684,46.43,13.75,2016-06-27,
831,samodejna,CERKNIŠKO JEZERO,586,45.72,14.40,2015-04-21,
832,samodejna,ZADLOG,716,45.94,14.01,2014-01-13,
835,samodejna,VODICE,930,45.88,14.09,2018-01-23,
836,podnebna,MARIBOR - VRBANSKI PLATO,279,46.57,15.63,2020-01-01,
836,samodejna,MARIBOR - VRBANSKI PLATO,279,46.57,15.63,2016-12-06,
836,registrator,MARIBOR - VRBANSKI PLATO,279,46.57,15.63,2015-08-05,2019-07-09
861,samodejna,PTUJ,222,46.42,15.85,2016-11-28,
10051,podnebna,RATEČE,864,46.50,13.72,2017-07-01,
10097,podnebna,BILJE,55,45.90,13.63,2017-04-06,
10249,podnebna,NOVO MESTO,220,45.80,15.18,2017-07-01,
10268,podnebna,CELJE - MEDLOG,241,46.24,15.23,2017-04-05,
10321,podnebna,ŠMARTNO PRI SLOV.GRADCU,452,46.48,15.12,2016-04-05,
10355,podnebna,MURSKA SOBOTA - RAKIČAN,186,46.65,16.20,2017-04-05,
